t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,lidar_front_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_direction,reward_safe,reward_risk,reward_front_safe,reward_front_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1777061054.267612,1,1,0.966228,0.758931,0.983114,0.379465,5.125004,2.012333,15.987667,0.000051,0.267256,-0.000287,1.896220,5.826275,0,0,0,,0.040379,0.000000,0.000000,0.100000,-0.042282,0.000000,-0.000000,-0.000014,0.000000,0.000000,0.000000,1.896220,2.078039,2.844910,2.875040,2.892521,3.332048,4.941044,11.879527,8.808248,5.939819,5.156241,5.125067,2.844990,2.078058,1.896233
1777061054.427468,1,2,0.966371,0.758458,0.983185,0.379229,5.125024,2.079561,15.920439,0.000266,0.706856,-0.001463,1.958584,5.825614,0,0,0,,0.150519,0.000000,0.000000,0.100000,-0.108270,0.000000,-0.000000,-0.000073,0.000000,-0.000003,0.000000,1.958584,2.146300,2.939171,2.875037,2.892498,3.331921,4.940599,11.881121,8.809038,5.940044,5.156280,5.125071,2.939674,2.147125,1.959202
1777061054.587870,1,3,0.966904,0.759241,0.983452,0.379621,5.124300,2.222406,15.777595,-0.022780,0.981799,0.343493,2.035039,5.821885,0,0,0,,0.337835,0.000000,0.000000,0.100000,-0.144734,0.000000,-0.000000,-0.017175,0.000000,-0.000007,0.000000,2.035039,2.229725,3.036507,2.875016,2.892367,3.331199,4.938085,11.889189,8.813047,5.941190,5.156485,5.125100,3.055939,2.231562,2.035955
1777061054.747175,1,4,0.967829,0.754210,0.983914,0.377105,5.116399,2.379414,15.620589,-0.079453,0.981800,0.359105,2.231620,6.561668,0,0,0,,0.392690,0.000000,0.000000,0.100000,-0.131985,0.000000,-0.000000,-0.017955,0.000000,-0.000030,0.000000,2.235118,2.519656,2.977822,2.873973,2.917438,3.464844,5.424992,11.922559,8.115285,5.741536,5.131790,5.126078,3.134579,2.383264,2.231620
1777061054.907729,1,5,0.970109,0.711993,0.985054,0.355996,5.099599,2.535637,15.464384,-0.136772,0.982853,0.339348,2.427763,7.729423,0,0,0,,0.399538,0.000000,0.000000,0.100000,-0.121452,0.000000,-0.000000,-0.016967,0.000000,-0.000222,0.000000,2.448881,2.854403,2.940962,2.885915,2.973661,3.662688,6.159874,11.589089,7.467349,5.544339,5.114174,5.118342,3.195321,2.531977,2.427763
1777061055.067707,1,6,0.971965,0.651411,0.985982,0.325705,5.074280,2.690619,15.309465,-0.192157,0.982184,0.329801,2.525414,8.081172,0,0,0,,0.399308,0.000000,0.000000,0.100000,-0.116676,0.000000,-0.000000,-0.016490,0.000000,-0.000312,0.000000,2.560688,3.034870,2.934556,2.897017,3.011974,3.778239,6.611051,11.587602,7.195109,5.457705,5.102926,5.117156,3.231769,2.609068,2.525414
1777061055.229424,1,7,0.973250,0.597114,0.986625,0.298557,5.040822,2.844014,15.156221,-0.245202,0.981506,0.304643,2.718943,7.454665,0,0,0,,0.403031,0.000000,0.000000,0.100000,-0.108296,0.000000,-0.000000,-0.015232,0.000000,-0.000278,0.000000,2.794806,3.366297,2.942875,2.929626,3.109719,4.049032,7.723368,11.882799,6.731638,5.304255,5.070464,5.120073,3.315582,2.768476,2.718943
1777061055.388677,1,8,0.975256,0.492072,0.987628,0.246036,4.999942,2.995780,15.004741,-0.292913,0.984546,0.242220,2.814899,7.189843,0,0,0,,0.403853,0.000000,0.000000,0.100000,-0.104929,0.000000,-0.000000,-0.012111,0.000000,-0.000535,0.000000,2.914829,3.334095,2.956639,2.950515,3.167993,4.202801,8.411165,11.288362,6.532138,5.235541,5.049590,5.123351,3.362289,2.850778,2.814899
1777061055.548596,1,9,0.975533,0.386205,0.987766,0.193103,4.952964,3.146003,14.854993,-0.331504,0.985546,0.190781,3.001188,6.791859,0,0,0,,0.408482,0.000000,0.000000,0.100000,-0.098516,0.000000,-0.000000,-0.009539,0.000000,-0.000531,0.000000,3.156765,3.311224,3.001587,3.001188,3.288271,4.501849,9.840075,10.198938,6.226076,5.120755,4.998713,5.120165,3.483135,3.023288,3.004931
1777061055.709326,1,10,0.975321,0.170328,0.987660,0.085164,4.901402,3.294977,14.706723,-0.357137,0.985578,0.082103,3.061805,6.529387,0,0,0,,0.412797,0.000000,0.000000,0.100000,-0.096568,0.000000,-0.000000,-0.004105,0.000000,-0.001080,0.000000,3.388843,3.332117,3.061805,3.063333,3.402893,4.756180,11.096318,9.561261,6.017120,5.026870,4.937928,5.094883,3.637104,3.202544,3.192419
