t_wall,scan_stamp_sec,odom_stamp_sec,camera_stamp_sec,goal_stamp_sec,goal_x,goal_y,camera_h,camera_w,velocity,goal_distance,goal_angle,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17
1774177482.629973,470.957000,471.047000,470.971000,1774177482.431219,2.000000,2.000000,480,640,0.195431,2.808764,0.788827,10.226433,10.226433,10.226433,0.925225,0.930674,1.072404,1.591040,4.642737,2.222971,3.579146,0.930601,0.925250,10.226433,10.226433,10.226433,0.195431,2.808764,0.788827
1774177482.729664,471.057000,471.147000,470.971000,1774177482.631400,2.000000,2.000000,480,640,0.200615,2.794716,0.789402,10.213123,10.213123,10.213123,0.924760,0.930761,1.074166,1.597886,4.716944,2.207900,3.560971,0.930522,0.925276,10.213123,10.213123,10.213123,0.200615,2.794716,0.789402
1774177482.829532,471.157000,471.247000,471.172000,1774177482.631400,2.000000,2.000000,480,640,0.200593,2.780663,0.789245,10.202690,10.202690,10.202690,0.924383,0.930917,1.076723,1.607800,4.827062,2.186805,3.549860,0.930426,0.925628,10.202690,10.202690,10.202690,0.200593,2.780663,0.789245
1774177482.929445,471.257000,471.347000,471.271000,1774177482.831235,2.000000,2.000000,480,640,0.200499,2.766604,0.788362,10.193952,10.193952,10.193952,0.924052,0.931192,1.079784,1.619493,4.960405,2.168036,3.542125,0.930262,0.925983,10.193952,10.193952,10.193952,0.200499,2.766603,0.788362
1774177483.029289,471.357000,471.447000,471.372000,1774177482.831235,2.000000,2.000000,480,640,0.200588,2.752526,0.786885,10.187165,10.187165,10.187165,0.923789,0.931620,1.083429,1.633235,5.122348,2.152161,3.538345,0.930025,0.926240,10.187165,10.187165,10.187165,0.200588,2.752526,0.786885
1774177483.129355,471.457000,471.547000,471.471000,1774177483.031276,2.000000,2.000000,480,640,0.200590,2.738424,0.784882,10.142614,10.142614,10.142614,0.923544,0.932226,1.087627,1.648881,4.104744,2.136905,3.524061,4.109518,0.926468,10.142614,10.142614,10.142614,0.200590,2.738424,0.784882
1774177483.229543,471.557000,471.647000,471.471000,1774177483.031276,2.000000,2.000000,480,640,0.200617,2.724289,0.782429,10.138025,10.138025,10.138025,0.923404,0.933029,1.092376,1.666403,3.981828,2.122208,3.507230,4.123166,0.926623,10.138025,10.138025,10.138025,0.200617,2.724289,0.782429
1774177483.329349,471.657000,471.747000,471.671000,1774177483.231245,2.000000,2.000000,480,640,0.200609,2.710117,0.779605,10.135008,10.135008,10.135008,0.923372,0.934050,1.097669,1.685759,3.858703,2.108002,3.489903,4.141048,0.926645,10.135008,10.135008,10.135008,0.200609,2.710117,0.779605
1774177483.430001,471.757000,471.847000,471.771000,1774177483.231245,2.000000,2.000000,480,640,0.200638,2.695902,0.776499,10.093113,10.093113,10.093113,0.923433,0.935303,1.103491,1.706887,3.737208,2.085183,3.471817,4.162642,0.926601,10.093113,10.093113,10.093113,0.200638,2.695902,0.776499
1774177483.529491,471.857000,471.947000,471.771000,1774177483.431198,2.000000,2.000000,480,640,0.200613,2.681645,0.773178,10.091382,10.091382,10.091382,0.923665,0.936801,1.109814,1.729680,3.618971,2.062005,3.464539,4.187786,0.926501,10.091382,10.091382,10.091382,0.200613,2.681645,0.773178
1774177483.629507,471.957000,472.047000,471.971000,1774177483.431198,2.000000,2.000000,480,640,0.200581,2.667350,0.769261,10.050858,10.050858,10.050858,0.923991,0.938550,1.116640,1.754166,3.504479,2.048577,3.472539,4.216277,0.926890,10.050858,10.050858,10.050858,0.200581,2.667350,0.769261
1774177483.729514,472.057000,472.147000,471.971000,1774177483.631344,2.000000,2.000000,480,640,0.200566,2.653003,0.764824,10.051007,10.051007,10.051007,0.924463,0.940587,1.124241,1.781510,3.389263,2.035861,3.451881,4.251850,0.927848,10.051007,10.051007,10.051007,0.200566,2.653003,0.764824
1774177483.829545,472.157000,472.247000,472.171000,1774177483.631344,2.000000,2.000000,480,640,0.200562,2.638590,0.760454,10.012962,10.012962,10.012962,0.925034,0.942940,1.132579,1.811547,3.275828,2.008161,3.430601,4.293658,0.927932,10.012962,10.012962,10.012962,0.200562,2.638590,0.760454
1774177483.929429,472.257000,472.347000,472.271000,1774177483.831219,2.000000,2.000000,480,640,0.200533,2.624121,0.756229,10.014085,10.014085,0.951417,0.925843,0.945609,1.141412,1.843219,3.169008,1.992434,3.421378,4.337361,0.929493,10.014085,10.014085,10.014085,0.200533,2.624121,0.756229
1774177484.680147,472.357000,472.427000,472.372000,1774177483.831219,2.000000,2.000000,480,640,0.200390,2.612504,0.753053,9.975414,9.975414,0.950381,0.926830,0.948498,1.150409,1.875343,3.071898,1.979972,3.425369,4.380842,0.931516,9.975414,9.975414,9.975414,0.200390,2.612504,0.753053
1774177484.730076,472.660000,472.657000,472.670000,1774177484.697965,2.000000,2.000000,480,640,0.200549,2.579003,0.751432,9.919780,9.919780,0.951206,0.931718,0.957899,1.174172,1.955208,2.871818,1.914276,3.378585,4.437596,0.934974,9.919780,9.919780,9.919780,0.200549,2.579003,0.751432
1774177484.829563,472.759000,472.837000,472.772000,1774177484.697965,2.000000,2.000000,480,640,0.200546,2.552802,0.752767,9.910118,9.910118,0.952351,0.933734,0.961081,1.181039,1.976806,2.825737,1.896616,3.366947,4.436791,0.937136,9.910118,9.910118,9.910118,0.200546,2.552802,0.752767
1774177484.929410,472.859000,472.947000,472.871000,1774177484.831310,2.000000,2.000000,480,640,0.200544,2.536816,0.754670,9.899641,9.899641,0.953740,0.935881,0.964327,1.187745,1.997450,2.784126,1.878454,3.356144,4.431140,0.939542,9.899641,9.899641,9.899641,0.200544,2.536816,0.754670
