t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_safe,reward_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1774536377.639822,1,1,0.792434,0.997254,0.792434,1.994507,0.043845,0.000090,1.755983,1.371049,0.498436,0.071464,1000.000000,0,0,0,,0.179454,0.004634,0.000000,-0.000000,-0.003573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536377.818526,1,2,0.930595,0.999788,0.930595,1.999576,0.170907,0.006137,1.729377,1.329030,0.884054,1.632333,1000.000000,0,0,0,,0.200900,0.013303,0.000000,-0.000000,-0.081617,0.000000,-0.001432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536377.998495,1,3,0.977975,0.999597,0.977975,1.999194,0.333090,0.054817,1.667686,1.066394,0.951859,2.008744,1000.000000,0,0,0,,0.495912,0.030845,0.000000,-0.000000,-0.100437,0.000000,-0.000478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536378.178168,1,4,0.998579,0.996175,0.998579,1.992349,0.471170,0.159951,1.563646,0.791628,0.972643,2.000104,1000.000000,0,0,0,,0.783432,0.052020,0.000000,-0.000000,-0.100005,0.000000,-0.000274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536378.357489,1,5,0.998346,0.916987,0.998346,1.833975,0.565618,0.306455,1.425854,0.530071,0.974671,1.839002,1000.000000,0,0,0,,0.997574,0.068896,0.000000,-0.000000,-0.091950,0.000000,-0.001586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536378.538855,1,6,0.999340,0.923451,0.999340,1.846901,0.607195,0.476006,1.264218,0.246402,0.975623,1.850114,1000.000000,0,0,0,,1.137744,0.080818,0.000000,-0.000000,-0.092506,0.000000,-0.000139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536378.729723,1,7,0.999273,0.273767,0.999273,0.547534,0.606522,0.663706,1.079639,0.148315,0.999883,0.501982,1000.000000,0,0,0,,1.240952,0.092289,0.000000,-0.000000,-0.025099,0.000000,-0.012994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536378.910116,1,8,0.999494,-0.065144,0.999494,-0.130288,0.597362,0.843099,0.902443,0.189999,1.000065,-0.117556,1000.000000,0,0,0,,1.254384,0.088598,0.000000,-0.000000,-0.005878,0.000000,-0.006780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536379.089970,1,9,0.999384,0.864903,0.999384,1.729806,0.570764,1.016764,0.727438,-0.051980,0.974262,1.741992,1000.000000,0,0,0,,1.164758,0.087502,0.000000,-0.000000,-0.087100,0.000000,-0.018602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536379.271538,1,10,0.999956,-0.414168,0.999956,-0.828337,0.517824,1.184741,0.551667,-0.014933,0.997979,-0.759723,1000.000000,0,0,0,,1.222966,0.087886,0.000000,-0.000000,-0.037986,0.000000,-0.025587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774536379.451123,1,11,0.999443,-0.884699,0.999443,-1.769397,0.498920,1.359871,0.377544,0.339649,0.983396,-1.719062,1000.000000,0,0,0,,1.113745,0.087061,0.000000,-0.000000,-0.085953,0.000000,-0.009416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
